,aspretto di pomodoro di niko romito,bouillabaisse,cacciucco livornese,cappelletti vegani in brodo,ceci in zimino la zuppa ligure per il pranzo di magro,clam chowder,crema di asparagi selvatici e fave,crema di broccoli,crema di ceci e pepite di stoccafisso in pastella,crema di ceci e semi di nigella,crema di fagioli cannellini con mazzancolle e vongole,crema di lenticchie con gamberi,crema di parmigiano,crema di pomodorini gialli,crema di verza e patate,fava greca,flan porri e patate,gazpacho andaluso,jiaozi di gamberi,macco di piselli,maltagliati con ceci,"minestra di farro verza e patate, la ricetta per una consistenza densa e cremosa",minestra di semolino,minestrone di verdure,noodles con zenzero pak choi e lime,pasta e ceci,pasta e fave,pasta e lenticchie,polpette di pane in brodo,polpo alla luciana,"ribollita, la zuppa toscana con i cannellini e il cavolo nero",ribollita: la ricetta originale toscana perfetta,risotto al parmigiano con crema di piselli,risotto radicchio e gorgonzola,risotto speck e mascarpone,scarola e fagioli alla napoletana,tris di canederli,vellutata detox di finocchi e cavolfiore,vellutata di asparagi piselli e patate,vellutata di cavolfiore e ricotta,vellutata di ceci,vellutata di finocchi,"vellutata di finocchi, un primo piatto light, anche se arricchito con la panna",vellutata di lenticchie rosse,"vellutata di patate, porri e funghi",vellutata di porri e patate,vellutata di zucca,vellutata di zucca patate e finocchi light,vellutata fredda di carote e zenzero,vellutata zucca e ricotta,zemin di ceci alla ligure,zuppa alla valdostana,zuppa di baccalà e fagioli,"zuppa di cipolle toscana, una ricetta ispirata alla carabaccia rinascimentale",zuppa di fagioli,zuppa di farro,zuppa di farro e funghi,zuppa di lenticchie e castagne,zuppa di orzo e fagioli,zuppa parmentier
crema di lenticchie con gamberi,0.1,0.04,0.08,0.09,0.1,0.04,0.05,0.12,0.08,0.1,0.14,1.0,0.0,0.1,0.16,0.11,0.14,0.0,0.04,0.05,0.11,0.13,0.09,0.16,0.0,0.1,0.1,0.09,0.05,0.1,0.08,0.1,0.09,0.05,0.05,0.06,0.06,0.11,0.09,0.09,0.11,0.1,0.0,0.0,0.2,0.06,0.08,0.08,0.0,0.04,0.1,0.05,0.1,0.1,0.0,0.07,0.1,0.29,0.09,0.06
crema di parmigiano,0.0,0.0,0.04,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0.05,0.14,0.04,0.0,0.0,0.04,0.05,0.0,0.06,0.0,0.05,0.0,0.15,0.06,0.04,0.0,0.31,0.1,0.06,0.06,0.06,0.06,0.0,0.05,0.0,0.0,0.17,0.04,0.04,0.17,0.04,0.0,0.0,0.14,0.0,0.05,0.05,0.06,0.05,0.08,0.0,0.12,0.0,0.12
crema di pomodorini gialli,0.68,0.04,0.09,0.0,0.12,0.04,0.06,0.07,0.1,0.18,0.11,0.1,0.0,1.0,0.12,0.14,0.12,0.06,0.0,0.0,0.14,0.1,0.06,0.1,0.0,0.12,0.12,0.06,0.06,0.12,0.1,0.12,0.11,0.06,0.06,0.07,0.05,0.14,0.06,0.11,0.14,0.12,0.0,0.0,0.2,0.0,0.1,0.05,0.0,0.06,0.12,0.06,0.12,0.12,0.0,0.09,0.12,0.0,0.11,0.0
crema di verza e patate,0.18,0.04,0.09,0.04,0.12,0.14,0.06,0.14,0.1,0.12,0.11,0.16,0.06,0.12,1.0,0.2,0.34,0.0,0.0,0.0,0.14,0.29,0.06,0.14,0.0,0.12,0.12,0.06,0.06,0.12,0.14,0.16,0.17,0.18,0.12,0.07,0.07,0.14,0.35,0.11,0.14,0.12,0.06,0.0,0.3,0.23,0.1,0.05,0.0,0.06,0.12,0.18,0.12,0.12,0.0,0.09,0.12,0.0,0.11,0.06
fava greca,0.2,0.09,0.14,0.0,0.12,0.1,0.06,0.08,0.15,0.12,0.12,0.11,0.0,0.14,0.2,1.0,0.12,0.06,0.0,0.0,0.2,0.12,0.06,0.15,0.0,0.2,0.19,0.06,0.06,0.26,0.16,0.13,0.12,0.12,0.14,0.16,0.05,0.14,0.12,0.18,0.22,0.12,0.0,0.06,0.16,0.0,0.12,0.05,0.0,0.06,0.12,0.06,0.12,0.14,0.06,0.14,0.19,0.0,0.18,0.0
flan porri e patate,0.12,0.04,0.08,0.04,0.11,0.09,0.06,0.14,0.09,0.11,0.1,0.14,0.05,0.12,0.34,0.12,1.0,0.0,0.04,0.0,0.17,0.28,0.06,0.14,0.0,0.12,0.11,0.06,0.06,0.12,0.09,0.12,0.1,0.06,0.06,0.07,0.04,0.12,0.23,0.1,0.12,0.11,0.0,0.0,0.48,0.62,0.1,0.04,0.0,0.1,0.11,0.06,0.16,0.12,0.0,0.08,0.11,0.0,0.1,0.19
gazpacho andaluso,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.04,0.0,0.0,0.0,0.14,0.06,0.0,0.06,0.0,1.0,0.07,0.1,0.12,0.04,0.1,0.0,0.0,0.06,0.0,0.05,0.0,0.06,0.04,0.0,0.05,0.05,0.06,0.12,0.0,0.0,0.05,0.05,0.06,0.05,0.0,0.14,0.0,0.12,0.04,0.0,0.06,0.1,0.05,0.0,0.0,0.0,0.1,0.08,0.1,0.08,0.14,0.0
jiaozi di gamberi,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.04,0.0,0.0,0.0,0.04,0.07,1.0,0.08,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0
macco di piselli,0.0,0.04,0.04,0.22,0.06,0.1,0.12,0.07,0.0,0.06,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.08,1.0,0.09,0.1,0.17,0.14,0.0,0.06,0.0,0.17,0.0,0.0,0.05,0.04,0.06,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.08,0.0,0.12,0.0,0.06,0.0,0.12,0.09,0.06,0.0,0.11,0.0
maltagliati con ceci,0.14,0.06,0.16,0.1,0.22,0.1,0.18,0.16,0.18,0.17,0.2,0.11,0.0,0.14,0.14,0.2,0.17,0.12,0.06,0.09,1.0,0.27,0.2,0.18,0.0,0.23,0.22,0.16,0.08,0.18,0.22,0.18,0.16,0.08,0.14,0.16,0.04,0.14,0.12,0.16,0.24,0.17,0.05,0.12,0.18,0.0,0.2,0.04,0.12,0.08,0.55,0.08,0.13,0.18,0.17,0.29,0.22,0.0,0.24,0.0
"minestra di farro verza e patate, la ricetta per una consistenza densa e cremosa",0.1,0.07,0.12,0.18,0.25,0.16,0.22,0.18,0.12,0.2,0.19,0.13,0.04,0.1,0.29,0.12,0.28,0.04,0.0,0.1,0.27,1.0,0.19,0.2,0.06,0.22,0.25,0.24,0.15,0.1,0.25,0.21,0.19,0.15,0.16,0.06,0.04,0.17,0.2,0.14,0.17,0.15,0.12,0.04,0.3,0.24,0.22,0.04,0.06,0.1,0.3,0.1,0.15,0.16,0.25,0.34,0.25,0.0,0.14,0.12
minestra di semolino,0.06,0.04,0.08,0.2,0.16,0.12,0.22,0.3,0.04,0.16,0.18,0.09,0.05,0.06,0.06,0.06,0.06,0.1,0.08,0.17,0.2,0.19,1.0,0.12,0.0,0.11,0.06,0.15,0.06,0.06,0.13,0.11,0.15,0.06,0.11,0.19,0.04,0.06,0.1,0.05,0.06,0.1,0.06,0.05,0.13,0.0,0.1,0.0,0.21,0.05,0.21,0.0,0.23,0.11,0.16,0.2,0.1,0.0,0.28,0.0
minestrone di verdure,0.1,0.0,0.0,0.0,0.14,0.0,0.14,0.22,0.1,0.14,0.08,0.16,0.0,0.1,0.14,0.15,0.14,0.0,0.0,0.14,0.18,0.2,0.12,1.0,0.0,0.19,0.09,0.17,0.04,0.14,0.15,0.0,0.12,0.09,0.1,0.11,0.0,0.1,0.08,0.12,0.15,0.14,0.0,0.04,0.15,0.05,0.16,0.08,0.0,0.04,0.18,0.0,0.14,0.1,0.14,0.16,0.14,0.04,0.21,0.0
noodles con zenzero pak choi e lime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.06,0.06,0.06,0.0,0.0,0.07,0.0,0.06,0.0,0.0,0.07,0.0,0.05,0.07,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.07
pasta e ceci,0.12,0.12,0.18,0.07,0.48,0.1,0.12,0.07,0.4,0.4,0.17,0.1,0.0,0.12,0.12,0.2,0.12,0.06,0.0,0.06,0.23,0.22,0.11,0.19,0.0,1.0,0.4,0.34,0.06,0.18,0.2,0.16,0.11,0.06,0.06,0.22,0.05,0.14,0.06,0.17,0.58,0.12,0.0,0.1,0.14,0.0,0.1,0.05,0.0,0.06,0.18,0.06,0.18,0.12,0.18,0.22,0.18,0.05,0.17,0.0
pasta e fave,0.12,0.04,0.08,0.0,0.16,0.04,0.06,0.07,0.14,0.11,0.21,0.1,0.05,0.12,0.12,0.19,0.11,0.0,0.0,0.0,0.22,0.25,0.06,0.09,0.06,0.4,1.0,0.32,0.16,0.12,0.18,0.12,0.16,0.11,0.12,0.07,0.04,0.19,0.06,0.16,0.19,0.11,0.12,0.05,0.18,0.06,0.2,0.04,0.0,0.1,0.16,0.11,0.11,0.18,0.11,0.21,0.11,0.0,0.1,0.06
pasta e lenticchie,0.06,0.11,0.08,0.2,0.21,0.17,0.17,0.06,0.04,0.16,0.1,0.09,0.0,0.06,0.06,0.06,0.06,0.05,0.0,0.17,0.16,0.24,0.15,0.17,0.0,0.34,0.32,1.0,0.1,0.11,0.18,0.18,0.1,0.1,0.06,0.0,0.04,0.06,0.0,0.05,0.06,0.1,0.06,0.0,0.04,0.0,0.14,0.04,0.07,0.0,0.26,0.1,0.1,0.11,0.16,0.24,0.06,0.0,0.1,0.0
polpette di pane in brodo,0.06,0.04,0.08,0.0,0.11,0.09,0.0,0.0,0.04,0.06,0.1,0.05,0.15,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.08,0.15,0.06,0.04,0.06,0.06,0.16,0.1,1.0,0.12,0.14,0.08,0.16,0.11,0.06,0.0,0.2,0.12,0.0,0.1,0.06,0.16,0.19,0.0,0.09,0.06,0.15,0.04,0.0,0.06,0.11,0.11,0.11,0.18,0.06,0.16,0.06,0.04,0.06,0.06
polpo alla luciana,0.12,0.12,0.18,0.0,0.12,0.04,0.06,0.07,0.14,0.12,0.11,0.1,0.06,0.12,0.12,0.26,0.12,0.06,0.0,0.0,0.18,0.1,0.06,0.14,0.0,0.18,0.12,0.11,0.12,1.0,0.14,0.16,0.11,0.06,0.06,0.14,0.05,0.14,0.06,0.17,0.2,0.12,0.0,0.06,0.14,0.0,0.1,0.05,0.0,0.06,0.12,0.06,0.18,0.12,0.06,0.18,0.18,0.05,0.17,0.0
"ribollita, la zuppa toscana con i cannellini e il cavolo nero",0.1,0.1,0.1,0.08,0.23,0.11,0.14,0.06,0.15,0.23,0.13,0.08,0.04,0.1,0.14,0.16,0.09,0.04,0.0,0.05,0.22,0.25,0.13,0.15,0.05,0.2,0.18,0.18,0.14,0.14,1.0,0.28,0.13,0.09,0.1,0.12,0.04,0.16,0.04,0.18,0.16,0.09,0.1,0.08,0.16,0.05,0.16,0.04,0.06,0.09,0.23,0.14,0.14,0.14,0.18,0.28,0.14,0.04,0.18,0.05
ribollita: la ricetta originale toscana perfetta,0.08,0.0,0.0,0.0,0.19,0.0,0.12,0.1,0.09,0.16,0.11,0.1,0.0,0.12,0.16,0.13,0.12,0.0,0.0,0.04,0.18,0.21,0.11,0.0,0.0,0.16,0.12,0.18,0.08,0.16,0.28,1.0,0.08,0.04,0.04,0.1,0.0,0.08,0.08,0.11,0.13,0.08,0.04,0.04,0.16,0.04,0.1,0.03,0.05,0.04,0.23,0.0,0.12,0.16,0.12,0.2,0.12,0.0,0.11,0.0
risotto al parmigiano con crema di piselli,0.11,0.04,0.12,0.06,0.1,0.08,0.11,0.13,0.08,0.1,0.1,0.09,0.31,0.11,0.17,0.12,0.1,0.05,0.0,0.06,0.16,0.19,0.15,0.12,0.06,0.11,0.16,0.1,0.16,0.11,0.13,0.08,1.0,0.36,0.32,0.06,0.13,0.18,0.05,0.15,0.12,0.21,0.18,0.0,0.18,0.06,0.19,0.09,0.0,0.1,0.16,0.1,0.1,0.17,0.1,0.16,0.16,0.04,0.15,0.06
risotto radicchio e gorgonzola,0.12,0.04,0.08,0.07,0.06,0.14,0.06,0.07,0.04,0.06,0.06,0.05,0.1,0.06,0.18,0.12,0.06,0.05,0.0,0.06,0.08,0.15,0.06,0.09,0.06,0.06,0.11,0.1,0.11,0.06,0.09,0.04,0.36,1.0,0.4,0.0,0.06,0.12,0.06,0.1,0.06,0.11,0.12,0.0,0.09,0.06,0.15,0.04,0.0,0.06,0.11,0.11,0.06,0.06,0.11,0.12,0.06,0.0,0.1,0.06
risotto speck e mascarpone,0.12,0.0,0.09,0.07,0.06,0.1,0.12,0.14,0.04,0.06,0.06,0.05,0.06,0.06,0.12,0.14,0.06,0.06,0.0,0.06,0.14,0.16,0.11,0.1,0.06,0.06,0.12,0.06,0.06,0.06,0.1,0.04,0.32,0.4,1.0,0.07,0.0,0.14,0.11,0.11,0.06,0.12,0.06,0.0,0.14,0.06,0.16,0.0,0.0,0.11,0.12,0.0,0.06,0.06,0.12,0.14,0.06,0.0,0.11,0.06
