Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
aceto balsamico di modena i.g.p,aceto balsamico di modena,89
aceto balsamico di modena i.g.p,aceto balsamico in crema,73
aceto balsamico di modena i.g.p,aceto balsamico tradizionale di modena,72
aceto di mele,aceto di mela,92
aceto di mele,aceto di mele,100
aceto di mele,aceto fi mela,85
acqua,acqua,100
aglio,aglio,100
aglio spicchi pulito,aglio spicchio,82
aglio tritato,aglio essiccato,71
alloro,alloro,100
aneto,aneto,100
anguria,anguria,100
anguria,anguria succo,70
arancia navel,arancia,70
arancia navel,arancia amare,77
arancia navel,arancia candita,71
arancia navel,arancia grande,74
asiago fresco dop,asiago fresco,87
asparagi surgelati,asparago selvatici,78
avocado hass,avocado,74
bacon,bacon,100
basilico fresco,basilico,70
basilico fresco,basilico fresca,93
basilico fresco,basilico fresco,100
basilico fresco,basilico fresco tritato,79
basilico fresco,basilico greco fresco,83
basilico fresco,basilico ligure,73
basilico fresco,basilico tritato,71
biscotti petit,biscotti,73
biscotti petit,biscotti amaretti,77
biscotti petit,biscotti digestive,75
biscotti petit,biscotti secchi,76
biscotto omino,biscotti,73
biscotto omino,biscotto oreo,81
bresaola artigianale affettata,bresaola affettata,75
bresaola punta d'anca affettata,bresaola affettata,73
burro,burro,100
burro,burro 1,83
burro 125 g,burro 1,78
burro agli aromi,burro salato,71
caciocavallo silano dop,caciocavallo fresco,71
caciocavallo silano dop,caciocavallo o parmigiano,71
caciocavallo silano dop,caciocavallo stagionato,74
carne salata,carne macinata,77
carne salata,carne salada trentina,73
carote,carota,83
carote,carote,100
carote,carote baby,71
carote cubettate,carote tritata,73
carote julienne,carota a julienne,88
carote pelate,carote già pulite,73
carote pelate,carote medie,72
carote pelate,carote novella,74
carote pelate,carote viola,72
cavatelli freschi,cavatelli freschi,100
cavoletti bruxelles,cavoletti di bruxelles,93
cavolfiore grattugiato,cavolfiore bianco,72
cavolfiore grattugiato,cavolfiore giallo,77
cavolfiore grattugiato,cavolfiore grande,72
cavolfiori,cavolfiore,90
cavolfiori,cavolfiore bianco,74
cavolfiori,cavolfiore giallo,74
cavolfiori,cavolfiore viola,77
cavolo cappuccio rosso julienne,cavoli cappuccio rosso,79
cavolo rosso,cavoli cappuccio rosso,71
cavolo rosso,cavoli nero,70
cavolo rosso,cavoli rosso,92
cavolo rosso,cavolo nero,78
ceci bio,ceci neri,71
ceci bio cotti,ceci cotti,83
ceci bio cotti,ceci precotti,74
cetriolo,cetriolo,100
chiodi di garofano,chiodi di garofano,100
chiodi di garofano,chiodi di garofano in polvere,77
cime di rapa cotte,cime di rapa,80
cime di rapa surgelate,cime di rapa,71
cipolla,cipolla,100
cipolla,cipolla rossa,70
cipolla,cipolle,86
cipolla,cipolle rossa,70
cipolla affettata,cipolla disidratata,72
cipolla affettata,cipolla dorata,71
cipolla affettata,cipolla ramata,77
cipolla affettata,cipolla tritata,81
cipolla affettata,cipolle tritata,75
cipolla rossa,cipolla,70
cipolla rossa,cipolla bianca grossa,76
cipolla rossa,cipolla biancoa,71
cipolla rossa,cipolla bionda,74
cipolla rossa,cipolla di tropea,73
cipolla rossa,cipolla dorata,74
cipolla rossa,cipolla grossa,96
cipolla rossa,cipolla novella,71
cipolla rossa,cipolla o scalogno,71
cipolla rossa,cipolla piccola,71
cipolla rossa,cipolla ramata,74
cipolla rossa,cipolla rossa,100
cipolla rossa,cipolla rossa di tropea,72
cipolla rossa,cipolla rossa piccola,76
cipolla rossa,cipolla tritata,71
cipolla rossa,cipolle rossa,92
cipolla rossa,cipolle rossa grande,73
cipolla rossa,cipolle rossa piccole,71
cipolla rossa,cipolle rosse,85
cipolla rossa affettata,cipolla grossa,70
cipolla rossa affettata,cipolla ramata,70
cipolla rossa affettata,cipolla rossa,72
cipolla rossa affettata,cipolle rossa grande,70
cipolla spicchi,cipolla piccola,80
cipolla spicchi,cipolla rossa piccola,72
cipolla tritata,cipolla bianca,76
cipolla tritata,cipolla biancoa,73
cipolla tritata,cipolla disidratata,76
cipolla tritata,cipolla dorata,83
cipolla tritata,cipolla ramata,83
cipolla tritata,cipolla rossa,71
cipolla tritata,cipolla tritata,100
cipolla tritata,cipolle dorata,76
cipolla tritata,cipolle tritata,93
cipolla tritata,cipolle tritata fine,80
coda di rospo congelata,coda di rospo,72
confettura extra albicocche 65% frutta,confettura albicocche,71
confettura extra albicocche 65% frutta,confettura di albicocche,71
cotechino cotto,cotechino precotto,91
couscous,couscous,100
cozze,cozza,80
crema di latte,crema di nocciole,71
cumino semi,cumino,71
cumino semi,cumino in semi,88
cumino semi,cumino nero in semi,73
cumino semi,cumino semi,100
curry madras,curry madras forte,80
curry madras,curry rosso,70
dado vegetale fatto da noi,dado vegetale bio,70
ditalini rigati,ditalini,70
emmenthal bavarese,emmenthal a fette,74
emmenthal bavarese,emmenthal a scaglie,70
emmenthal bavarese cubettato,emmenthal a cubetti,77
erba cipollina,erba cipollina,100
erba cipollina,erba cipollina fresca,80
erba cipollina,erba cipollina i fiori,78
erba cipollina,erba cipollina tritato,78
erbe aromatiche,erbe aromatiche,100
erbe aromatiche,erbe aromatiche di provenza,71
erbe aromatiche,erbe aromatiche fresche,79
erbe aromatiche,erbe aromatiche miste,83
erbe aromatiche,erbe aromatiche miste secche,70
fagioli borlotti bio,fagiolo borlotti,83
fagioli borlotti bio,fagiolo borlotti già ammollati,72
fagioli borlotti bio,fagiolo borlotti già lessi,74
fagioli borlotti bio,fagiolo borlotti secchi,79
fagioli borlotti bio cotti,fagiolo borlotti,71
fagioli borlotti bio cotti,fagiolo borlotti già ammollati,71
fagioli borlotti bio cotti,fagiolo borlotti già lessi,73
fagioli cannellini bio,fagiolo cannellini,85
fagioli cannellini bio,fagiolo cannellini già lessi,76
fagioli cannellini bio,fagiolo cannellini secchi,81
fagioli cannellini bio,fagiolo cannellino già lessato,73
fagioli cannellini bio cotti,fagiolo cannellini,74
fagioli cannellini bio cotti,fagiolo cannellini già lessi,75
fagioli cannellini bio cotti,fagiolo cannellini secchi,72
fagioli di spagna,fagiolo bianchi di spagna,81
fagiolini cotti,fagiolini,75
fagiolini cotti,fagiolini borlotti,85
fagiolini cotti,fagiolini lessati,75
fagiolini cotti,fagiolini verdi,73
fagiolini surgelati,fagiolini borlotti,76
fagiolini surgelati,fagiolini lessati,78
fagiolini surgelati,fagiolini verdi,71
farina 00,farina,80
farina 00,farina 0,94
farina 00,farina 0 w 260,78
farina 00,farina 00,100
farina 00,farina 1,82
farina 00,farina 450,84
farina 00,farina bianca 00,72
farina 00,farina debole 00,72
farina 00,farina oo,78
farina 00,farina tipo 0,73
farina 00,farina w 170,76
farina 00,farina w 350,76
farina 00,farina w170,80
farina di ceci,farina da pane,71
farina di ceci,farina di avena,76
farina di ceci,farina di banane,73
farina di ceci,farina di castagne,75
farina di ceci,farina di ceci,100
farina di ceci,farina di cocco,83
farina di ceci,farina di mais,79
farina di ceci,farina di manioca,71
farina di ceci,farina di nocciole,81
farina di ceci,farina di pistacchi,79
farina di ceci,farina di riso,79
farina di ceci,farina di segale,73
farina di ceci,farina di semola,73
farina di ceci,farina di soia,79
farina di grano tenero 00,farina di grano duro,80
farina di grano tenero 00,farina di grano saraceno,78
farina di grano tenero 00,farina di grano saraceno bianca,71
farina di grano tenero 00,farina di grano tenero di tipo 1 (320 w),74
farina di grano tenero 00,farina integrale di grano tenero,77
farro perlato,farro decorticato,73
farro perlato,farro pelato,96
farro perlato,farro perlato,100
farro perlato cotto,farro pelato,77
farro perlato cotto,farro perlato,81
feta,feta,100
filetto di nasello,filetto di cervo,76
filetto di pesce persico,filetto di cervo,75
filetto di pollo,filetto di cervo,75
filetto di scamone,filetto di cervo,76
filetto di scorfano,filetto di cervo,74
finocchietto selvatico,finocchietto,71
finocchietto selvatico,finocchietto fresco,78
finocchietto selvatico,finocchietto selvatico,100
finocchietto selvatico,finocchietto semi,82
finocchio a spicchi,finocchio piccoli,83
finocchio a spicchi,finocchio semi,73
fiori di zucca,fiori di zucca,100
fiori di zucca,fiori di zucchina,90
