Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
formaggio grattugiato fresco,formaggio di pecora fresco,70
formaggio grattugiato fresco,formaggio fresco,73
formaggio grattugiato fresco,formaggio grattugiato,86
formaggio grattugiato fresco,formaggio grattugiato tipo gruyère,77
formaggio grattugiato fresco,formaggio italico grattugiato,74
formaggio grattugiato fresco,formaggio toma grattugiata,74
formaggio grattugiato fresco (100 g),formaggio grattugiato,74
formaggio pecorino romano,formaggio caprino,71
formaggio pecorino romano,formaggio fresco tipo robiola,70
formaggio pecorino romano,formaggio primo sale,71
formaggio pecorino romano,formaggio tipo toma,73
formaggio spalmabile,formaggio brie,76
formaggio spalmabile,formaggio filante,70
formaggio spalmabile,formaggio fresco spalmabile,85
formaggio spalmabile,formaggio primo sale,70
formaggio spalmabile,formaggio primosale,72
formaggio spalmabile,formaggio robiola,70
formaggio spalmabile,formaggio robiola o altro spalmabile,71
formaggio spalmabile,formaggio spalamabile,98
formaggio spalmabile,formaggio spalmabile,100
formaggio spalmabile,formaggio spalmabile light,87
formaggio spalmabile 100 g,formaggio fresco spalmabile,75
formaggio spalmabile 100 g,formaggio spalamabile,85
formaggio spalmabile 100 g,formaggio spalmabile,87
formaggio spalmabile 100 g,formaggio spalmabile light,85
formaggio stagionato julienne,formaggio semi stagionato,74
funghi champignon crema,funghi champignon,85
funghi champignon crema,funghi champignon freschi,83
funghi champignon crema,funghi champignon medio grandi,75
funghi champignon crema affettati,funghi champignon freschi,72
funghi orecchiette,funghi freschi,75
funghi orecchiette,funghi porcini secchi,72
funghi orecchiette,funghi secchi,77
funghi orecchiette mondati,funghi freschi misti,70
funghi pioppini,funghi chiodini,80
funghi pioppini,funghi pioppini o chiodini,73
funghi pioppini,funghi porcini,83
funghi pioppini mondati,funghi pioppini o chiodini,78
funghi porcini,funghi chiodini,76
funghi porcini,funghi freschi,71
funghi porcini,funghi neri cinesi,75
funghi porcini,funghi porcini,100
funghi porcini,funghi porcini freschi,78
funghi porcini,funghi porcini secchi,80
funghi porcini,funghi porcino secco,76
fusilli,fusilli,100
fusilli cotti,fusilli,70
fusilli integrali,fusilli integrali,100
fusilli integrali cotti,fusilli integrali,85
germogli di soia,germogli a piacere,71
germogli di soia,germogli di alfa alfa,70
germogli di soia,germogli di porro,79
germogli di soia,germogli di soia,100
gnocchi di patate,gnocchi di patate,100
gorgonzola dop cubetti,gorgonzola dolce cremoso,70
gorgonzola dop cubetti,gorgonzola dop,78
guanciale,guanciale,100
guanciale cubettato,guanciale a cubetti,84
insalata mista,insalata,73
insalata mista,insalata lattuga,73
insalata mista,insalata mista,100
insalata mista,insalata misticanza,85
insalata mista,insalata romana,76
insalata novella,insalata indivia belga,74
insalata novella,insalata lollo,80
insalata novella,insalata romana,71
insalata novella,insalata rucola,77
insalata songino,insalata lattughino,74
insalata songino,insalata lollo,73
insalata songino,insalata romana,71
insalata songino,insalata songino,100
insalata songino,insalata songino o valeriana,73
latte di cocco,latte di cocco,100
latte di cocco,latte di cocco denso,82
latte di cocco,latte di cocco in lattina,72
latte di cocco,latte di cocco tiepido,78
latte di cocco,latte di riso,74
latte di cocco,latte di soai,74
latte di cocco,latte di soia,74
lenticchie verdi bio,lenticchie secchi,70
limone,limone,100
limone,limone 1/2,75
limone,limone bio,75
limone,limoni,83
linguine,linguine,100
linguine cotte,linguine,73
maggiorana,maggiorana,100
maggiorana,maggiorana fresca,74
maggiorana,maggiorana secca,77
maionese,maionese,100
maionese,maionese bio,80
mais,mais,100
mandorle pelate,mandorla,70
mandorle pelate,mandorle,70
mandorle pelate,mandorle a lamelle,73
mandorle pelate,mandorle al naturale,74
mandorle pelate,mandorle con la pelle,72
mandorle pelate,mandorle granella,75
mandorle pelate,mandorle grezze frullate,72
mandorle pelate,mandorle in lamelle,71
mandorle pelate,mandorle in polvere,71
mandorle pelate,mandorle intere,73
mandorle pelate,mandorle latte,90
mandorle pelate,mandorle non pelate,88
mandorle pelate,mandorle pasta,83
mandorle pelate,mandorle pelata,93
mandorle pelate,mandorle pelate,100
mandorle pelate,mandorle pelate e tostate,75
mandorle pelate,mandorle sbucciate,73
mandorle pelate,mandorle sgusciate,73
mandorle pelate,mandorle sgusciate e pelate,71
mandorle pelate,mandorle spellate,94
mandorle pelate,mandorle tostata,71
mandorle pelate,mandorle tostate,77
mandorle pelate,mandorle tritata,71
mandorle pelate,mandorle tritate,77
marsala semi secco,marsala secco,84
mascarpone,mascarpone,100
mela golden,mela gala,70
mela golden,mela gala o golden,76
mela golden,mela gialle,73
mela golden,mela golden,100
mela golden,mela golden o gala,76
mela golden,mela marlene,70
mela golden,mela tipo golden,81
mela golden cubettata,mela golden o gala,72
mela golden melinda,mela golden,73
mela golden melinda,mela golden o gala,76
melanzane,melanzana,89
melanzane,melanzana baby,70
melanzane,melanzana lunghe,72
melanzane cubettate,melanzana violetta,70
melanzane cubettate,melanzana violette,70
melanzane grigliate,melanzana grandi striate,74
melanzane grigliate,melanzana perline,72
melanzane grigliate,melanzana viola,71
melone,melone,100
menta,menta,100
miele,miele,100
mortadella bolognese i.g.p,mortadella bologna,77
mozzarella di bufala 125 g,mozzarella da 250 g,80
mozzarella di bufala 125 g,mozzarella di bufala,87
mozzarella di bufala a fette,mozzarella di bufala,83
mozzarella di bufala a fette,mozzarella fior di latte,73
mozzarella di bufala a fette,mozzarella fiordialatte,75
mozzarella di bufala a fette,mozzarella fiordilatte,72
mozzarella di bufala mammarella,mozzarella di bufala,78
mozzarella fiordilatte,mozzarella di bufala,71
mozzarella fiordilatte,mozzarella fior di latte,96
mozzarella fiordilatte,mozzarella fiordialatte,98
mozzarella fiordilatte,mozzarella fiordilatta,95
mozzarella fiordilatte,mozzarella fiordilatte,100
mozzarella fiordilatte,mozzarella tipo fiordilatte,90
mozzarella granarolo,mozzarella ciliegina,70
mozzarella julienne,mozzarella ciliegiene,80
mozzarella julienne,mozzarella ciliegina,77
mozzarella julienne,mozzarella ciliegine,82
noci,noce,75
noci,noci,100
noci tritate,noci tritate,100
olio di semi di girasole,olio di arachidi o di girasole,78
olio di semi di girasole,olio di girasole,80
olio di semi di girasole,olio di semi d'arachide,72
olio di semi di girasole,olio di semi di arachide,79
olio di semi di girasole,olio di semi di girasole,100
olio di semi di girasole,olio di semi di mais,82
olio di semi di girasole,olio di semi di sesamo,78
olio extra vergine di oliva bio levante,olio extra vergine di oliva,82
olio extra vergine di oliva bio levante,olio extravergine d oliva,78
olio extra vergine di oliva bio levante,olio extravergine d'oliva,75
olio extra vergine di oliva bio levante,olio extravergine di oiliva,79
olio extra vergine di oliva bio levante,olio extravergine di olica,77
olio extra vergine di oliva bio levante,olio extravergine di oliv,78
olio extra vergine di oliva bio levante,olio extravergine di oliva,80
olio extra vergine di oliva bio levante,olio extravergine di oliva aromatizzato alla menta,76
olio extra vergine di oliva bio levante,olio extravergine di oliva delicato,78
olio extra vergine di oliva bio levante,olio extravergine di oliva di castelvetrano,80
olio extra vergine di oliva bio levante,olio extravergine di oliva per spennellare,74
olio extra vergine di oliva bio levante,olio extravergine di olvia,77
olio extra vergine di oliva bio levante,olio extravergine dioliva,78
olio extravergine di oliva,olio extra vergine di oliva,98
olio extravergine di oliva,olio extravergine,79
olio extravergine di oliva,olio extravergine d oliva,98
olio extravergine di oliva,olio extravergine d'oliva,94
olio extravergine di oliva,olio extravergine di oiliva,98
olio extravergine di oliva,olio extravergine di olica,96
olio extravergine di oliva,olio extravergine di oliv,98
olio extravergine di oliva,olio extravergine di oliva,100
olio extravergine di oliva,olio extravergine di oliva delicato,85
olio extravergine di oliva,olio extravergine di oliva di castelvetrano,75
olio extravergine di oliva,olio extravergine di oliva per spennellare,76
olio extravergine di oliva,olio extravergine di olvia,96
olio extravergine di oliva,olio extravergine dioliva,98
olive nere rondelle,olive nere denocciolate,71
olive nere rondelle,olive nere e verdi,70
olive nere rondelle,olive nere intere,72
olive taggiasche,oliva taggiasche sottolio,73
olive taggiasche,olive taggiasche,100
olive taggiasche,olive taggiasche denocciolate,71
olive taggiasche,olive teaggiasche,97
olive verdi a rondelle,olive verdi denocciolate,70
olive verdi a rondelle,olive verdi o nere,75
olive verdi giganti,olive di gaeta,73
olive verdi giganti,olive verdi,73
olive verdi giganti,olive verdi denocciolate,70
olive verdi giganti,olive verdi o nere,70
orata eviscerata (circa 400 g),orata da circa 400 g,76
orata eviscerata (circa 400 g),orata da circa 450 g,72
orata eviscerata (circa 400 g),orata di circa 500 gr,71
orecchiette fresche,orecchiette,73
origano essiccato,origano essiccato,100
origano essiccato,origano fresco,77
origano essiccato,origano fresco tritato,72
origano essiccato,origano secco,80
origano essiccato,origano tritato,75
orzo perlato,orzo decorticato,71
orzo perlato,orzo perlato,100
orzo perlato cotto,orzo perlato,80
ossobuco di vitello,ossobuco di tacchino,72
ossobuco di vitello,ossobuco di vitello,100
paccheri,paccheri,100
pancetta arrotolata,pancetta affettata,76
pancetta arrotolata,pancetta stagionata,74
pancetta arrotolata,pancetta steccata,72
pancetta arrotolata affettata,pancetta affettata,77
pancetta arrotolata affettata,pancetta dolce tesa affettata,79
pane bianco,pane brioche,70
pane bianco,pane nero,70
pane bianco,pane pita,70
pane bianco,pane rustico,70
pane bianco,pane toscano,70
pane grattugiato,pane grattato,90
pane grattugiato,pane grattuggiato,97
pane grattugiato,pane grattugiato,100
pane in cassetta,pane a cassetta,90
pane in cassetta,pane in cassetta,100
pane in cassetta,pane in cassetta integrale,76
pane in cassetta,pane integrale a cassetta,78
pane in cassetta affettato,pane in cassetta,76
pane in cassetta affettato,pane in cassetta integrale,73
pane per hambuger al sesamo,pane per hamburger,76
pane raffermo,pane (panino raffermo),74
pane raffermo,pane casereccio raffermo,70
pane raffermo,pane integrale raffermo,72
pane raffermo,pane mollica rafferma,71
pane raffermo,pane nero,73
pane raffermo,pane raffermo,100
pane raffermo,pane toscano raffermo,76
pane rustico affettato,pane rustico,71
pane rustico filone,pane rustico,77
panna fresca,panna acida,70
panna fresca,panna fresca,100
panna fresca,panna fresca liquida,75
panna fresca,panna liquida fresca,75
panna fresca da montare,panna da montare,82
panna fresca da montare,panna fresca liquida,70
panna fresca da montare,panna fresca liquida da montare,85
panna fresca da montare,panna fresca semimontata,77
panna fresca da montare,panna liquida da montare,77
panna fresca da montare,panna vegetale da montare,79
paprika,paprika,100
paprika,paprika dolce,70
parmigiano reggiano,parmigiano grana padano,71
parmigiano reggiano,parmigiano grattuggiato,81
parmigiano reggiano,parmigiano grattugiato,78
parmigiano reggiano,parmigiano reggiano,100
parmigiano reggiano,parmigiano reggiano (scorze),81
parmigiano reggiano,parmigiano reggiano a scaglie,79
parmigiano reggiano,parmigiano reggiano gragttigiato,75
parmigiano reggiano,parmigiano reggiano grattigiato,76
parmigiano reggiano,parmigiano reggiano gratttugiato,75
parmigiano reggiano,parmigiano reggiano grattufiato,76
parmigiano reggiano,parmigiano reggiano grattugiato,76
parmigiano reggiano,parmigiano reggiano gratutrato,78
parmigiano reggiano,parmigiano reggiano in scaglie,78
parmigiano reggiano,parmigiano reggiano solo le croste,72
parmigiano reggiano,parmigiano rwggiano grattugiato,72
pasta corta,pasta calamarata,74
pasta corta,pasta corta,100
pasta corta,pasta frolla,70
pasta di salsiccia,pasta di acciughe,74
pasta di salsiccia,pasta di pistacchio,76
pasta di salsiccia,pasta di vaniglia,74
pasta fresca all'uovo precotta surgelata,pasta fresca all'uovo per lasagne,77
pasta sfoglia decongelata cruda,pasta sfoglia rettangolare,70
pasta sfoglia decongelata cruda,pasta sfoglia tonda,72
patate,patata,83
patate,patate,100
patate cubettate,patate lessate,73
patate in fiocchi,patate da gnocchi,76
patate julienne,patate lesse,74
patate lamelle,patate bollite,71
patate lamelle,patate lessate,71
patate lamelle,patate lesse,77
patate lamelle,patate medie,77
patate lamelle,patate novella,71
patate lamelle,patate novelle,79
patate rondelle,patata grande,71
patate rondelle,patate bollite,76
patate rondelle,patate grandi,71
patate rondelle,patate grosse,71
patate rondelle,patate novella,76
patate rondelle,patate novelle,83
patate rondelle,patate rosse,74
pecorino artiginale,pecorino grattugiato,72
pecorino romano grattugiato,pecorino grattugiato,85
pecorino romano grattugiato,pecorino romani,71
pecorino romano grattugiato,pecorino romano,71
pecorino romano grattugiato,pecorino romano grattugiato,100
pecorino romano grattugiato,pecorino stagionato grattugiato,83
pepe nero in grani,pepe in grani,84
pepe nero in grani,pepe nero di sarawak,74
pepe nero in grani,pepe nero grattugiato,72
pepe nero in grani,pepe nero in grani,100
pepe nero in grani,pepe nero macinato,72
pepe nero in grani,pepe nero marinato,72
pepe nero in grani,pepe nero vaccinato,70
pepe nero in grani,pepe rosa in grani,89
pepe nero in grani,pepe rosso e nero in grani,82
pepe nero macinato,pepe bianco macinato,84
pepe nero macinato,pepe bianco macinato fresco,71
pepe nero macinato,pepe macinato,84
pepe nero macinato,pepe nero amcinato fresco,79
pepe nero macinato,pepe nero grattugiato,77
pepe nero macinato,pepe nero in grani,72
pepe nero macinato,pepe nero macinato,100
pepe nero macinato,pepe nero macinato al momento,77
pepe nero macinato,pepe nero macinato fresco,84
pepe nero macinato,pepe nero marinato,94
pepe nero macinato,pepe nero vaccinato,92
pepe nero macinato,"pepe nero, macinato fresco",82
pepe nero macinato,pepe rosa macinato,89
pepe nero macinato,pepe rosa macinato fresco,74
pepe rosa in grani,pepe in grani,84
pepe rosa in grani,pepe nero in grani,89
pepe rosa in grani,pepe rosa in bacche,76
pepe rosa in grani,pepe rosa in grani,100
pepe rosa in grani,pepe rosa macinato,72
pepe rosa in grani,pepe rosso e nero in grani,77
peperoncino frantumato,peperoncino essiccato,70
peperoncino frantumato,peperoncino facoltativo,80
peperoncino frantumato,peperoncino fresco,75
peperoncino frantumato,peperoncino in pasta,71
peperoncino frantumato,peperoncino jalapeno,71
peperoncino frantumato,peperoncino nero,74
peperoncino frantumato,peperoncino rosso frantumato,88
peperoncino frantumato,peperoncino tritato,83
peperoni,peperone,88
peperoni,peperone giallo,70
peperoni,peperone rossi,73
pera kaiser,pera kaiser,100
pesca nettarina,pesca nettarina di romagna,73
pesca nettarina,pesca nettarine,93
pesca nettarina,pesca nettarine igp,82
piadina,piadina,100
pinoli,pinoli,100
piselli cotti,piselli,70
piselli cotti,piselli fini,72
piselli cotti,piselli freschi,71
piselli cotti,piselli sgusciati,73
piselli cotti,piselli trifolati,73
piselli finissimi surgelati,piselli (freschi o surgelati),71
piselli finissimi surgelati,piselli fini surgelati,90
piselli finissimi surgelati,piselli finissimi,77
piselli finissimi surgelati,piselli freschi o surgelati,74
piselli finissimi surgelati,piselli surgelati,77
polenta precotta,polenta bramata,71
polpo decongelato,polpo eviscerato,73
pomodori ciliegini,pomodori ciliegia,91
pomodori ciliegini,pomodori ciliegieni,97
pomodori ciliegini,pomodori ciliegini,100
pomodori ciliegini,pomodori ciliegino,94
pomodori ciliegini,pomodori ciliegino giallo,84
pomodori ciliegini,pomodori ciliegino o datterino,75
pomodori ciliegini,pomodori ciligino,91
pomodori ciliegini,pomodori datterini,72
pomodori ciliegini,pomodori di tipo ciliegino,77
pomodori ciliegini,pomodori gialli,73
pomodori ciliegini,pomodori pachino,71
pomodori ciliegini,pomodori perini,79
pomodori ciliegini,pomodoro ciliegini,94
pomodori ciliegini,pomodoro ciliegino,89
pomodori ciliegini,pomodoro ciliegino o datterino,71
pomodori ciliegini lavati,pomodori ciliegia,81
pomodori ciliegini lavati,pomodori ciliegieni,82
pomodori ciliegini lavati,pomodori ciliegini,84
pomodori ciliegini lavati,pomodori ciliegino,79
pomodori ciliegini lavati,pomodori ciliegino giallo,76
pomodori ciliegini lavati,pomodori ciliegino o datterino,76
pomodori ciliegini lavati,pomodori ciligino,76
pomodori ciliegini lavati,pomodoro ciliegini,79
pomodori ciliegini lavati,pomodoro ciliegino,74
pomodori ciliegini lavati,pomodoro ciliegino o datterino,73
pomodori ciliegini rondelle,pomodori ciliegia,73
pomodori ciliegini rondelle,pomodori ciliegieni,78
pomodori ciliegini rondelle,pomodori ciliegini,80
pomodori ciliegini rondelle,pomodori ciliegino,80
pomodori ciliegini rondelle,pomodori ciliegino giallo,77
pomodori ciliegini rondelle,pomodori ciligino,77
pomodori ciliegini rondelle,pomodoro ciliegini,76
pomodori ciliegini rondelle,pomodoro ciliegino,76
pomodori datterini,pomodori ciliegieni,70
pomodori datterini,pomodori ciliegini,72
pomodori datterini,pomodori ciliegino o datterino,71
pomodori datterini,pomodori datterini,100
pomodori datterini,pomodori datterini confit,84
pomodori datterini,pomodori datterini gialli,84
pomodori datterini,pomodori datterino,94
pomodori datterini,pomodori datterino giallo,84
pomodori datterini,pomodori maturi,79
pomodori datterini,pomodori maturo,73
pomodori datterini,pomodori medi,71
pomodori datterini,pomodori pachino,71
pomodori datterini,pomodori pelati,73
pomodori datterini,pomodori perini,85
pomodori datterini,pomodori perlati,71
pomodori datterini,pomodori pomodorini,76
pomodori datterini,pomodori ramati,73
pomodori datterini,pomodori ramati maturi,70
pomodori datterini,pomodori tondi maturi,72
pomodori datterini,pomodori verdi,75
pomodori datterini,pomodoro ciliegino o datterino,71
pomodori datterini,pomodoro maturi,73
pomodori datterini lavati,pomodori datterini,84
pomodori datterini lavati,pomodori datterini confit,80
pomodori datterini lavati,pomodori datterini gialli,84
pomodori datterini lavati,pomodori datterino,79
pomodori datterini lavati,pomodori datterino giallo,76
pomodori datterini lavati,pomodori pelati,70
pomodori datterini lavati,pomodori perini,70
pomodori datterini lavati,pomodori perlati,73
pomodori datterini rondelle,pomodori datterini,80
pomodori datterini rondelle,pomodori datterini confit,81
pomodori datterini rondelle,pomodori datterini gialli,81
pomodori datterini rondelle,pomodori datterino,80
pomodori datterini rondelle,pomodori datterino giallo,77
pomodori secchi,pomodori,70
pomodori secchi,pomodori fresco,73
pomodori secchi,pomodori medi,79
pomodori secchi,pomodori pachino,77
pomodori secchi,pomodori pelati,73
pomodori secchi,pomodori perini,73
pomodori secchi,pomodori perlati,71
pomodori secchi,pomodori piccadilly,71
pomodori secchi,pomodori rossi,76
pomodori secchi,pomodori secchi,100
pomodori secchi,pomodori secchi sott'olio,75
pomodori secchi,pomodori secchi sottolio,77
pomodori secchi,pomodori secco,90
pomodori secchi,pomodori secco sottolio,74
pomodori secchi,pomodori semisecchi,88
pomodori secchi,pomodori succo,83
pomodori secchi,pomodori verdi,76
pomodori secchi,pomodoro pachino,71
pomodori secchi,pomodoro secchi,93
pomodori secchi,pomodoro secchi sottolio,72
pomodori secchi,pomodoro secco,83
pomodoro grappolo,pomodori a grappolo,89
pomodoro grappolo,pomodori polpa,71
pomodoro grappolo,pomodoro salsa,71
pomodoro grappolo affettato,pomodori a grappolo,70
pomodoro grappolo lavato,pomodori a grappolo,74
pomodoro grappolo lavato,pomodoro pelato,72
pomodoro grappolo spicchi,pomodori a grappolo,73
pomodoro grappolo spicchi,pomodoro secchi,70
prezzemolo fresco,prezzemolo,74
prezzemolo fresco,prezzemolo fresco,100
prezzemolo fresco,prezzemolo fresco tritato,81
prezzemolo fresco,"prezzemolo fresco, le foglie",76
prezzemolo fresco,prezzemolo tritato,74
prezzemolo fresco,prezzemolo tritato fresco,81
prosciutto cotto,prosciutto,77
prosciutto cotto,prosciutto cotto,100
prosciutto cotto,prosciutto cotto a cubetti,76
prosciutto cotto,prosciutto cotto a dadini,78
prosciutto cotto,prosciutto cotto a fette,80
prosciutto cotto,prosciutto cotto affettato,76
prosciutto cotto,prosciutto cotto affumicato,74
prosciutto cotto,prosciutto crudo,81
prosciutto cotto affettato,prosciutto cotto,76
prosciutto cotto affettato,prosciutto cotto a cubetti,81
prosciutto cotto affettato,prosciutto cotto a dadini,75
