Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
mortadella bolognese i.g.p,mortadella bologna,46
mozzarella di bufala 125 g,mozzarella da 250 g,48
mozzarella di bufala 125 g,mozzarella di bufala,52
mozzarella di bufala a fette,mozzarella di bufala,50
mozzarella di bufala a fette,mozzarella fiordialatte,45
mozzarella di bufala mammarella,mozzarella di bufala,47
mozzarella fiordilatte,mozarella fiordilatte,59
mozzarella fiordilatte,mozzarella fior di latte,58
mozzarella fiordilatte,mozzarella fiordialatte,59
mozzarella fiordilatte,mozzarella fiordilatta,99
mozzarella fiordilatte,mozzarella tipo fiordilatte,54
mozzarella julienne,mozzarella ciliegiene,48
mozzarella julienne,mozzarella ciliegina,46
mozzarella julienne,mozzarella ciliegine,49
mozzarella julienne,mozzarelline,46
noci,noce,99
noci tritate,nocciola tritate,52
olio di semi di girasole,olio di arachidi o di girasole,47
olio di semi di girasole,olio di girasole,48
olio di semi di girasole,olio di semi di arachide,47
olio di semi di girasole,olio di semi di mais,49
olio di semi di girasole,olio di semi di sesamo,47
olio di semi di girasole,semi di girasole,48
olio extra vergine di oliva bio levante,olio extra vergine di oliva,49
olio extra vergine di oliva bio levante,olio extravergine d oliva,47
olio extra vergine di oliva bio levante,olio extravergine d'oliva,45
olio extra vergine di oliva bio levante,olio extravergine di oiliva,47
olio extra vergine di oliva bio levante,olio extravergine di olica,46
olio extra vergine di oliva bio levante,olio extravergine di oliv,47
olio extra vergine di oliva bio levante,olio extravergine di oliva,48
olio extra vergine di oliva bio levante,olio extravergine di oliva aromatizzato alla menta,46
olio extra vergine di oliva bio levante,olio extravergine di oliva delicato,47
olio extra vergine di oliva bio levante,olio extravergine di oliva di castelvetrano,48
olio extra vergine di oliva bio levante,olio extravergine di olvia,46
olio extra vergine di oliva bio levante,olio extravergine dioliva,47
olio extravergine di oliva,olio extra vergine di oliva,59
olio extravergine di oliva,olio extravergine,47
olio extravergine di oliva,olio extravergine d oliva,59
olio extravergine di oliva,olio extravergine d'oliva,56
olio extravergine di oliva,olio extravergine di oiliva,59
olio extravergine di oliva,olio extravergine di olica,58
olio extravergine di oliva,olio extravergine di oliv,59
olio extravergine di oliva,olio extravergine di oliva delicato,51
olio extravergine di oliva,olio extravergine di oliva di castelvetrano,45
olio extravergine di oliva,olio extravergine di oliva per spennellare,46
olio extravergine di oliva,olio extravergine di olvia,58
olio extravergine di oliva,olio extravergine dioliva,59
olive taggiasche,olive teaggiasche,58
olive verdi a rondelle,olive verdi o nere,45
orata eviscerata (circa 400 g),orata da circa 400 g,46
origano essiccato,aglio essiccato,45
origano essiccato,origano fresco,46
origano essiccato,origano secco,48
origano essiccato,origano tritato,45
origano essiccato,rosmarino essiccato,50
orzo perlato,farro pelato,45
orzo perlato,farro perlato,48
orzo perlato cotto,orzo perlato,48
paccheri,maccheroni,47
pancetta arrotolata,pancetta affettata,46
pancetta arrotolata affettata,pancetta affettata,46
pancetta arrotolata affettata,pancetta dolce tesa affettata,47
pane bianco,aceto bianco,47
pane bianco,pepe bianco,49
pane grattugiato,grana padano grattugiato,45
pane grattugiato,mela grattugiata,45
pane grattugiato,pane grattato,54
pane grattugiato,pane grattuggiato,58
pane grattugiato,pangrattato,49
pane grattugiato,parmigiano grattuggiato,46
pane grattugiato,parmigiano grattugiato,47
pane grattugiato,pecorino grattugiato,47
pane grattugiato,pepe nero grattugiato,49
pane grattugiato,zenzero grattugiato,48
pane in cassetta,pane a cassetta,54
pane in cassetta,pane in cassetta integrale,46
pane in cassetta,pane integrale a cassetta,47
pane in cassetta affettato,pancetta affettata,46
pane in cassetta affettato,pane in cassetta,46
pane per hambuger al sesamo,pane per hamburger,46
pane raffermo,pandoro raffermo,50
pane raffermo,pane toscano raffermo,46
pane rustico filone,pane rustico,46
panna fresca,ananas fresco,48
panna fresca,menta fresca,45
panna fresca,pancetta fresca,49
panna fresca,panna fresca liquida,45
panna fresca,panna liquida fresca,45
panna fresca,sarda fresca,45
panna fresca da montare,panna da montare,49
panna fresca da montare,panna fresca liquida da montare,51
panna fresca da montare,panna fresca semimontata,46
panna fresca da montare,panna liquida da montare,46
panna fresca da montare,panna vegetale da montare,47
paprika,papaia,46
parmigiano reggiano,parmigiano grattuggiato,49
parmigiano reggiano,parmigiano grattugiato,47
parmigiano reggiano,parmigiano reggiano (scorze),49
parmigiano reggiano,parmigiano reggiano a scaglie,47
parmigiano reggiano,parmigiano reggiano gragttigiato,45
parmigiano reggiano,parmigiano reggiano grattigiato,46
parmigiano reggiano,parmigiano reggiano gratttugiato,45
parmigiano reggiano,parmigiano reggiano grattufiato,46
parmigiano reggiano,parmigiano reggiano grattugiato,46
parmigiano reggiano,parmigiano reggiano gratutrato,47
parmigiano reggiano,parmigiano reggiano in scaglie,47
passata di pomodoro,salsa di pomodoro,50
pasta di salsiccia,pasta di pistacchio,46
pasta fresca all'uovo precotta surgelata,pasta fresca all'uovo per lasagne,46
pasta per pizza,impasto per pizza,53
pastrami,pasta,46
patate,patata,99
patate in fiocchi,avena in fiocchi,47
patate in fiocchi,patate da gnocchi,46
patate in fiocchi,sale in fiocchi,49
patate in fiocchi,soia in fiocchi,45
patate julienne,carota a julienne,45
patate lamelle,patate lesse,46
patate lamelle,patate medie,46
patate lamelle,patate novelle,47
patate rondelle,patate bollite,46
patate rondelle,patate novella,46
patate rondelle,patate novelle,50
pecorino romano grattugiato,parmigiano reggiano gratttugiato,45
pecorino romano grattugiato,parmigiano reggiano grattugiato,46
pecorino romano grattugiato,parmigiano rwggiano grattugiato,46
pecorino romano grattugiato,pecorino grattugiato,51
pecorino romano grattugiato,pecorino stagionato grattugiato,50
pennette,penne,46
pepe nero in grani,pepe in grani,50
pepe nero in grani,pepe rosa in grani,53
pepe nero in grani,pepe rosso e nero in grani,49
pepe nero macinato,pepe bianco macinato,50
pepe nero macinato,pepe macinato,50
pepe nero macinato,pepe nero amcinato fresco,47
pepe nero macinato,pepe nero grattugiato,46
pepe nero macinato,pepe nero macinato al momento,46
pepe nero macinato,pepe nero macinato fresco,50
pepe nero macinato,pepe nero marinato,56
pepe nero macinato,pepe nero vaccinato,55
pepe nero macinato,"pepe nero, macinato fresco",49
pepe nero macinato,pepe rosa macinato,53
pepe nero macinato,zenzero marinato,46
pepe rosa in grani,pepe in grani,50
pepe rosa in grani,pepe nero in grani,53
pepe rosa in grani,pepe rosa in bacche,46
pepe rosa in grani,pepe rosso e nero in grani,46
peperoncino frantumato,peperoncino facoltativo,48
peperoncino frantumato,peperoncino fresco,45
peperoncino frantumato,peperoncino rosso frantumato,53
peperoncino frantumato,peperoncino tritato,50
peperoni,peperoncino,50
peperoni,peperone,99
pesca nettarina,pesca nettarine,99
pesca nettarina,pesca nettarine igp,49
piadina integrale,farina integrale,51
piadina integrale,pancarrè integrale,48
piadina integrale,pane integrale,50
piselli finissimi surgelati,piselli fini surgelati,54
piselli finissimi surgelati,piselli finissimi,46
piselli finissimi surgelati,piselli surgelati,46
pomodori ciliegini,pomodori ciliegia,55
pomodori ciliegini,pomodori ciliegieni,58
pomodori ciliegini,pomodori ciliegino,99
pomodori ciliegini,pomodori ciliegino giallo,50
pomodori ciliegini,pomodori ciliegino o datterino,45
pomodori ciliegini,pomodori ciligino,55
pomodori ciliegini,pomodori di tipo ciliegino,46
pomodori ciliegini,pomodori perini,47
pomodori ciliegini,pomodoro ciliegini,56
pomodori ciliegini,pomodoro ciliegino,53
pomodori ciliegini lavati,pomodori ciliegia,49
pomodori ciliegini lavati,pomodori ciliegieni,49
pomodori ciliegini lavati,pomodori ciliegini,50
pomodori ciliegini lavati,pomodori ciliegino,47
pomodori ciliegini lavati,pomodori ciliegino giallo,46
pomodori ciliegini lavati,pomodori ciliegino o datterino,46
pomodori ciliegini lavati,pomodori ciligino,46
pomodori ciliegini lavati,pomodoro ciliegini,47
pomodori ciliegini rondelle,pomodori ciliegieni,47
pomodori ciliegini rondelle,pomodori ciliegini,48
pomodori ciliegini rondelle,pomodori ciliegino,48
pomodori ciliegini rondelle,pomodori ciliegino giallo,46
pomodori ciliegini rondelle,pomodori ciligino,46
pomodori ciliegini rondelle,pomodoro ciliegini,46
pomodori ciliegini rondelle,pomodoro ciliegino,46
pomodori datterini,pomodori datterini confit,50
pomodori datterini,pomodori datterini gialli,50
pomodori datterini,pomodori datterino,99
pomodori datterini,pomodori datterino giallo,50
pomodori datterini,pomodori maturi,47
pomodori datterini,pomodori perini,51
pomodori datterini,pomodori pomodorini,46
pomodori datterini,pomodori verdi,45
pomodori datterini lavati,pomodori datterini,50
pomodori datterini lavati,pomodori datterini confit,48
pomodori datterini lavati,pomodori datterini gialli,50
pomodori datterini lavati,pomodori datterino,47
pomodori datterini lavati,pomodori datterino giallo,46
pomodori datterini rondelle,pomodori datterini,48
pomodori datterini rondelle,pomodori datterini confit,49
pomodori datterini rondelle,pomodori datterini gialli,49
pomodori datterini rondelle,pomodori datterino,48
pomodori datterini rondelle,pomodori datterino giallo,46
pomodori secchi,pomodori medi,47
pomodori secchi,pomodori pachino,46
pomodori secchi,pomodori rossi,46
pomodori secchi,pomodori secchi sott'olio,45
pomodori secchi,pomodori secchi sottolio,46
pomodori secchi,pomodori secco,54
pomodori secchi,pomodori semisecchi,53
pomodori secchi,pomodori succo,50
pomodori secchi,pomodori verdi,46
pomodori secchi,pomodoro secchi,56
pomodori secchi,pomodoro secco,50
pomodoro grappolo,pomodori a grappolo,53
prezzemolo fresco,prezzemolo fresco tritato,49
prezzemolo fresco,prezzemolo tritato fresco,49
primosale a cubetti,salame a cubetti,48
prosciutto cotto,prosciutto,46
prosciutto cotto,prosciutto cotto a cubetti,46
prosciutto cotto,prosciutto cotto a dadini,47
prosciutto cotto,prosciutto cotto a fette,48
prosciutto cotto,prosciutto cotto affettato,46
prosciutto cotto,prosciutto crudo,49
prosciutto cotto affettato,prosciutto cotto,46
prosciutto cotto affettato,prosciutto cotto a cubetti,49
prosciutto cotto affettato,prosciutto cotto a dadini,45
prosciutto cotto affettato,prosciutto cotto a fette,53
prosciutto cotto affettato,prosciutto cotto affettato sottile,52
prosciutto cotto affettato,prosciutto cotto affumicato,52
prosciutto cotto affettato,prosciutto cotto in un'unica fetta,46
prosciutto cotto cubettato,prosciutto cotto,46
prosciutto cotto cubettato,prosciutto cotto a cubetti,53
prosciutto cotto cubettato,prosciutto cotto a fette,48
prosciutto cotto cubettato,prosciutto cotto affettato,53
prosciutto cotto cubettato,prosciutto cotto affettato sottile,46
prosciutto cotto cubettato,prosciutto cotto affumicato,47
prosciutto crudo di parma crumble,prosciutto crudo di carpegna,45
prosciutto crudo di parma crumble,prosciutto crudo di parma,52
prosciutto crudo di parma cubettato,prosciutto crudo di parma,50
prosciutto crudo di parma dop,prosciutto crudo di carpegna,49
prosciutto crudo di parma dop,prosciutto crudo di montagna,46
prosciutto crudo di parma dop,prosciutto crudo di parma,56
prosciutto crudo di parma dop affettato,prosciutto crudo di parma,47
prosciutto crudo e bresaola,prosciutto crudo a fette sottili,45
prosciutto crudo e bresaola,prosciutto crudo di parma,46
provola affumicata,paprika affumicata,47
provola affumicata,provola affumicata fresca,50
provola affumicata,provola affumicato,99
provola affumicata,ricotta affumicata,47
provola affumicata cubettata,provola affumicata,47
provola affumicata cubettata,provola affumicata fresca,47
provolone dolce,provola dolce,52
provolone dolce,provolone,45
quarto di limone,succo di limone,46
radicchio rosso,radicchio,45
radicchio rosso,radicchio precoce,45
radicchio rosso,radicchio rocchio,49
radicchio rosso,radicchio tardivo,45
radicchio rosso a spicchi,radicchio rocchio,46
radicchio rosso a spicchi,radicchio rosso,45
radicchio rosso julienne,radicchio rosso,46
ravioli di zucca,fiori di zucca,48
reale di vitello,carne noce di vitello,46
reale di vitello,carne spalla di vitello,46
reale di vitello,girello di vitella,46
ricotta salata,ricotta affumicata,45
ricotta salata,ricotta setacciata,49
ricotta salata,ricotta vaccina salata,47
ricotta salata,trota salmonata,46
ricotta vaccina granarolo,ricotta vaccina,45
ricotta vaccina granarolo,ricotta vaccina salata,46
rigatini,rigatoni,53
riso basmati cotto,riso basmati,48
riso basmati cotto,riso basmati già cotto,54
riso carnaroli cotto,riso carnaroli,49
riso carnaroli cotto,riso carnaroli o arborio,46
riso parboiled,riso arborio,46
riso venere cotto,riso venere,47
rosmarino fresco,formaggio fresco,45
rosmarino fresco,origano fresco,48
rosmarino fresco,pecorino fresco,46
rosmarino fresco,rosmarino essiccato,48
rosmarino fresco,rosmarino fresco tritato,48
rosmarino fresco,rosmarino secco,50
rosmarino fresco,tomino fresco,50
rucola,cola,48
salame cacciatorino a fette,salame cacciatorino,50
salamini cacciatorini,salame cacciatorino,51
salmone affumicato,sale affumicato,55
salmone affumicato,salmone affumicato a fette,49
salmone affumicato,scamorza affumicata,46
salmone affumicato julienne,salmone affumicato,48
salmone affumicato julienne,salmone affumicato a fette,47
salmone fresco cubettato,salmone fresco abbattuto,50
salmone fresco quadrotti,salmone fresco abbattuto,45
salsa di soia,panna di soia,46
salsa di soia,salsa di soia bio,52
salsa di soia,salsa di soia chiara,47
salsa di soia,salsa di soia fino,50
salsa di soia,salsa di soia scura,49
salsa di soia,salsa di soia tamari,47
salsa di soia e miele,salsa di soia,46
salsa di soia e miele,salsa di soia bio,47
salsa di soia e miele,salsa di soia fino,46
salsa di soia e miele,salsa di soia tamari,47
salsa di soia kikkoman,salsa di soia bio,49
salsa di soia kikkoman,salsa di soia chiara,46
salsa di soia kikkoman,salsa di soia fino,48
salsa di soia kikkoman,salsa di soia tamari,46
salsa verde,mela verde,46
salvia fresca,salvia essiccata,46
salvia fresca,salvia fresco,99
salvia fresca,sarda fresca,48
salvia fresca,vaniglia fresca,47
scamone,salmone,52
scamone,scampo,46
scamorza artigianale affumicata,scamorza affumicata,46
semi di sesamo,olio di semi di sesamo,47
semi di sesamo,olio di sesamo,47
semi di sesamo,semi di senape,47
semi di sesamo,semi di sesamo nero,51
spada fresco,panna fresca,45
spada fresco,salvia fresco,48
spada fresco,sarda fresca,50
spaghetti,agretti,45
spaghetti,pasta spaghetti,45
spaghetti cotti,spaghetti,45
spaghettoni,spaghetti,54
speck affettato,salame affettato,46
speck affettato,speck a fette,47
spinaci freschi cotti,spinaci freschi,50
spinaci freschi cotti,spinaci freschi puliti,50
spinaci freschi mondati,spinaci freschi,47
spinaci freschi mondati,spinaci freschi puliti,48
spinaci surgelati,piselli surgelati,46
spinaci surgelati,spinaci lessati,45
spinaci surgelati,spinaci purea,48
spumante rosé,spumante,46
succo di limone,succo di lime,56
succo di limone,succo di limone o lime,49
tagliatelle secche all'uovo,pasta tagliatelle all'uovo,45
tagliatelle secche all'uovo,tagliatelle all'uovo,51
taleggio dop,taleggio,48
timo fresco,aneto fresco,47
timo fresco,asiago fresco,45
timo fresco,limone fresco,50
timo fresco,scampo fresco,45
timo fresco,timo secco,46
timo fresco,tomino fresco,50
timo fresco,tonno fresco,47
tonno in olio di semi di girasole,olio di semi di girasole,50
tortiglioni,tortellini,46
tortiglioni cotti,tortiglioni,47
trito di pesce,brodo di pesce,47
trito di pesce,fumetto di pesce,48
trofie fresche,fragole fresche,46
uova sode,uovo sodo,47
verdure e germogli di soia,germogli di soia,46
vino bianco,quinoa bianca,45
vino bianco,vino bianco secco,47
vino bianco,vino secco bianco,47
vino rosso,aglio rosso,46
vino rosso,tonno rosso,46
vino rosso,vino rosso secco,46
vino rosso fermo,vino rosso,46
vino rosso fermo,vino rosso corposo,46
vino rosso fermo,vino rosso e corposo,47
vino rosso fermo,vino rosso leggero,49
vino rosso fermo,vino rosso secco,49
yogurt greco dop 10%,yogurt greco,45
yogurt intero bianco 150 gr,yogurt intero bianco,51
zafferano fili,zafferano,47
zafferano fili,zafferano pistilli,49
zucca,zucchina,46
zucca petali,zucca delica,45
zucchero a velo,zucchero a belo,56
zucchero a velo,zucchero bucaneve,45
zucchero a velo,zucchero granella,45
zucchero a velo,zucchero zucchero a velo,46
zucchero semolato,zucchero bianco semolato,50
zucchero semolato,zucchero semolato bianci,50
zucchero semolato,zucchero semolato bianco,50
zucchero semolato,zucchero semolato finissimo,46
zucchero semolato bianco,zucchero bianco,46
zucchero semolato bianco,zucchero bianco semolato bianco,52
zucchero semolato bianco,zucchero semolato,50
zucchero semolato bianco,zucchero semolato bianci,99
zucchero semolato bianco,zucchero semolato finissimo,49
zucchero semolato bianco,"zucchero semolato, bianco",59
zucchine,zuccherini,47
zucchine,zucchero,45
zucchine,zucchina,99
zucchine,zucchine baby,46
zucchine mezza luna,zucchine lunga,47
