Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
aceto balsamico di modena i.g.p,aceto balsamico di modena,53
aceto di mele,aceto di mela,99
aceto di mele,aceto fi mela,51
aglio,aglione,50
aglio a fette,limone a fette,49
aglio spicchi pulito,aglio spicchio,49
aglio tritato,basilico tritato,50
aglio tritato,ghiaccio tritato,46
aglio tritato,timo tritato,48
aneto,aceto,48
anguria,angostura,45
arancia navel,arancia amare,46
asiago fresco dop,asiago fresco,52
asparagi surgelati,asparago selvatici,47
asparagina,asparago,47
baffa di salmone fresco,salmone fresco,46
base per pizza,impasto per pizza,46
basilico fresco,asiago fresco,47
basilico fresco,basilico fresca,99
basilico fresco,basilico fresco tritato,47
basilico fresco,basilico greco fresco,50
biscotti petit,biscotti amaretti,46
biscotti petit,biscotti digestive,45
biscotti petit,biscotti secchi,46
biscotto omino,biscotto oreo,49
bresaola artigianale affettata,bresaola affettata,45
broccoli freschi,germogli freschi,45
burro,burro 1,50
burro 125 g,burro 1,47
calamarata,calamaro,47
calamarata,pasta calamarata,46
capperi e olive taggiasche,olive taggiasche,46
carne salata,carne macinata,46
carote,carota,99
carote julienne,carota a julienne,53
catalogna,castagna,49
cavatelli freschi,piselli freschi,45
cavoletti bruxelles,cavoletti di bruxelles,56
cavolfiore grattugiato,cavolfiore giallo,46
cavolfiore grattugiato,cocco grattugiato,46
cavolfiori,cavolfiore,99
cavolfiori,cavolfiore viola,46
cavolfiori,cavoli,45
cavolfiori,cavolo,45
cavolini di bruxelles cotti,cavoletti di bruxelles,47
cavolo cappuccio rosso julienne,cavoli cappuccio rosso,47
cavolo rosso,aglio rosso,47
cavolo rosso,cavoli rosso,55
cavolo rosso,cavolo nero,47
ceci bio cotti,ceci cotti,50
cetriolo,cetriolino,53
cetriolo,stridolo,45
chiodi di garofano,chiodi di garofano in polvere,46
ciabattina di semola di grano duro,farina di semola di grano duro,53
ciabattina di semola di grano duro,farina di semola rimacinata di grano duro,45
ciabattina di semola di grano duro,farina semola di grano duro,49
cime di rapa cotte,cime di rapa,48
cipolla,cipolle,99
cipolla,cipolline,45
cipolla affettata,cipolla ramata,46
cipolla affettata,cipolla tritata,49
cipolla affettata,cipolle tritata,45
cipolla affettata,mortadella affettata,46
cipolla rossa,cipolla bianca grossa,46
cipolla rossa,cipolla grossa,58
cipolla rossa,cipolla rossa piccola,46
cipolla rossa,cipolle rossa,55
cipolla rossa,cipolle rosse,51
cipolla rossa,cipollotto rosso,46
cipolla spicchi,cipolla piccola,48
cipolla tritata,carota tritata,46
cipolla tritata,cipolla bianca,46
cipolla tritata,cipolla disidratata,46
cipolla tritata,cipolla dorata,50
cipolla tritata,cipolla ramata,50
cipolla tritata,cipolle dorata,46
cipolla tritata,cipolle tritata,56
cipolla tritata,cipolle tritata fine,48
cipolla tritata,erba cipollina tritato,46
cipolla tritata,nocciola tritate,46
code gambero argentino,gambero argentini,49
cotechino cotto,cotechino precotto,55
cozze,cozza,99
crocchette di patate,gnocchi di patate,46
cumino macinato,carne macinato,46
cumino macinato,manzo macinato,50
cumino macinato,tacchino macinato,49
cumino semi,cumino in semi,53
cuori di borragine,fiori di borraggine,52
curry madras,curry madras forte,48
dischetti cioccolato bianco,cioccolato bianco,46
emmenthal bavarese cubettato,emmenthal a cubetti,46
erba cipollina,erba cipollina fresca,48
erba cipollina,erba cipollina i fiori,47
erba cipollina,erba cipollina tritato,47
erbe aromatiche,erbe aromatiche fresche,47
erbe aromatiche,erbe aromatiche miste,50
fagioli borlotti bio,fagiolini borlotti,50
fagioli borlotti bio,fagiolo borlotti,50
fagioli borlotti bio,fagiolo borlotti secchi,47
fagioli cannellini bio,fagiolini cannellini già lessi,46
fagioli cannellini bio,fagiolo cannellini,51
fagioli cannellini bio,fagiolo cannellini già lessi,46
fagioli cannellini bio,fagiolo cannellini secchi,49
fagioli cannellini bio cotti,fagiolini cannellini già lessi,46
fagioli cannellini bio cotti,fagiolo cannellini già lessi,45
fagioli di spagna,fagiolo bianchi di spagna,49
fagiolini cotti,fagiolini,45
fagiolini cotti,fagiolini borlotti,51
fagiolini cotti,fagiolini lessati,45
fagiolini cotti,fagiolo neri precotti,47
fagiolini surgelati,fagiolini borlotti,46
fagiolini surgelati,fagiolini lessati,47
farina 00,farina,48
farina 00,farina 0,56
farina 00,farina 0 w 260,47
farina 00,farina 1,49
farina 00,farina 450,50
farina 00,farina oo,47
farina 00,farina w 170,46
farina 00,farina w 350,46
farina 00,farina w170,48
farina di ceci,farina di avena,46
farina di ceci,farina di castagne,45
farina di ceci,farina di cocco,50
farina di ceci,farina di mais,47
farina di ceci,farina di nocciole,49
farina di ceci,farina di pistacchi,47
farina di ceci,farina di riso,47
farina di ceci,farina di soia,47
farina di grano tenero 00,farina di grano duro,48
farina di grano tenero 00,farina di grano saraceno,47
farina di grano tenero 00,farina integrale di grano tenero,46
farro perlato,farro pelato,58
farro perlato,orzo perlato,48
farro perlato cotto,farro pelato,46
farro perlato cotto,farro perlato,49
feta a fette,emmenthal a fette,46
feta a fette,pancetta a fette,47
filetto di nasello,filetto di cervo,46
filetto di pesce persico,filetto di cervo,45
filetto di pollo,filetto di cervo,45
filetto di scamone,filetto di cervo,46
financier al cioccolato,rollini al cioccolato,46
financier al cioccolato,wafer al cioccolato,49
finocchi,finocchietto,48
finocchi,finocchio,56
finocchi,gnocchi,48
finocchietto selvatico,finocchietto fresco,47
finocchietto selvatico,finocchietto semi,49
finocchio a spicchi,finocchio piccoli,50
fiori di zucca,fiori di zucchina,54
formaggio grattugiato fresco,formaggio grattugiato,52
formaggio grattugiato fresco,formaggio grattugiato tipo gruyère,46
formaggio grattugiato fresco,zenzero grattugiato fresco,47
formaggio pecorino romano,pecorino romano,45
formaggio spalmabile,formaggio brie,46
formaggio spalmabile,formaggio fresco spalmabile,51
formaggio spalmabile,formaggio spalamabile,59
formaggio spalmabile,formaggio spalmabile light,52
formaggio spalmabile 100 g,formaggio fresco spalmabile,45
formaggio spalmabile 100 g,formaggio spalamabile,51
formaggio spalmabile 100 g,formaggio spalmabile,52
formaggio spalmabile 100 g,formaggio spalmabile light,51
funghi champignon crema,funghi champignon,51
funghi champignon crema,funghi champignon freschi,50
funghi champignon crema,funghi champignon medio grandi,45
funghi orecchiette,funghi freschi,45
funghi orecchiette,funghi secchi,46
funghi orecchiette,orecchiette,46
funghi pioppini,funghi chiodini,48
funghi pioppini,funghi porcini,50
funghi pioppini mondati,funghi pioppini o chiodini,47
funghi porcini,funghi chiodini,46
funghi porcini,funghi neri cinesi,45
funghi porcini,funghi porcini freschi,47
funghi porcini,funghi porcini secchi,48
funghi porcini,funghi porcino secco,46
fusilli integrali cotti,fusilli integrali,51
germogli di soia,germogli di porro,47
gorgonzola dop cubetti,gorgonzola dop,47
gorgorzola dop dolce,gorgonzola dop,46
granella di mandorle,farina di mandorle,47
granella di mandorle,pasta di mandorle,46
granella di pistacchio,crema di pistacchi,48
granella di pistacchio,farina di pistacchi,47
granella di pistacchio,pasta di pistacchio,47
guanciale cubettato,guanciale a cubetti,50
insalata mista,insalata misticanza,51
insalata mista,insalata romana,46
insalata novella,insalata lollo,48
insalata novella,insalata rucola,46
latte di cocco,latte di cocco denso,49
latte di cocco,latte di cocco tiepido,47
limone,aglione,46
limone,lampone,46
limone,lime,48
limone,limoncello,45
limone,limone 1/2,45
limone,limone bio,45
limone,limoni,99
limone,salmone,46
lupini,lipini,50
magatello di vitello,girello di vitella,47
magatello di vitello,macinato di vitello,49
maggiorana,maggiorana secca,46
maionese,maionese bio,48
mais,miso,45
mandorle pelate,mandorle granella,45
mandorle pelate,mandorle latte,54
mandorle pelate,mandorle non pelate,53
mandorle pelate,mandorle pasta,50
mandorle pelate,mandorle pelata,99
mandorle pelate,mandorle pelate e tostate,45
mandorle pelate,mandorle spellate,56
mandorle pelate,mandorle tostate,46
mandorle pelate,mandorle tritate,46
marsala semi secco,marsala secco,50
mela golden,mela gala o golden,46
mela golden,mela golden o gala,46
mela golden,mela tipo golden,49
mela golden melinda,mela golden o gala,46
melanzane,melanzana,99
melone,melograne,48
mirto,mirtillo,46
