Ingrediente Lista 1,Ingrediente Lista 2,Indice di Fuzzy
aceto balsamico di modena i.g.p,aceto balsamico di modena,54
aceto di mele,aceto di mela,99
aceto di mele,aceto fi mela,50
asiago fresco dop,asiago fresco,52
basilico fresco,basilico fresca,99
carote,carota,99
carote julienne,carota a julienne,53
cavoletti bruxelles,cavoletti di bruxelles,58
cavolfiori,cavolfiore,99
cavolo rosso,cavoli rosso,57
cetriolo,cetriolino,54
ciabattina di semola di grano duro,farina di semola di grano duro,53
cipolla,cipolle,99
cipolla rossa,cipolla grossa,61
cipolla rossa,cipolle rossa,57
cipolla rossa,cipolle rosse,50
cipolla tritata,cipolle tritata,58
cotechino cotto,cotechino precotto,56
cozze,cozza,99
cumino semi,cumino in semi,53
cuori di borragine,fiori di borraggine,51
fagioli cannellini bio,fagiolo cannellini,50
fagiolini cotti,fagiolini borlotti,50
farina 00,farina 0,59
farro perlato,farro pelato,61
finocchi,finocchio,59
fiori di zucca,fiori di zucchina,55
formaggio grattugiato fresco,formaggio grattugiato,51
formaggio spalmabile,formaggio fresco spalmabile,50
formaggio spalmabile,formaggio spalamabile,63
formaggio spalmabile,formaggio spalmabile light,52
formaggio spalmabile 100 g,formaggio spalamabile,50
formaggio spalmabile 100 g,formaggio spalmabile,52
formaggio spalmabile 100 g,formaggio spalmabile light,50
funghi champignon crema,funghi champignon,50
fusilli integrali cotti,fusilli integrali,50
insalata mista,insalata misticanza,50
limone,limoni,99
mandorle pelate,mandorle latte,55
mandorle pelate,mandorle non pelate,53
mandorle pelate,mandorle pelata,99
mandorle pelate,mandorle spellate,59
melanzane,melanzana,99
mozzarella di bufala 125 g,mozzarella di bufala,52
mozzarella fiordilatte,mozarella fiordilatte,63
mozzarella fiordilatte,mozzarella fior di latte,61
mozzarella fiordilatte,mozzarella fiordialatte,63
mozzarella fiordilatte,mozzarella fiordilatta,99
mozzarella fiordilatte,mozzarella tipo fiordilatte,55
noci,noce,99
noci tritate,nocciola tritate,51
olio extravergine di oliva,olio extra vergine di oliva,63
olio extravergine di oliva,olio extravergine d oliva,63
olio extravergine di oliva,olio extravergine d'oliva,59
olio extravergine di oliva,olio extravergine di oiliva,63
olio extravergine di oliva,olio extravergine di olica,61
olio extravergine di oliva,olio extravergine di oliv,63
olio extravergine di oliva,olio extravergine di oliva delicato,50
olio extravergine di oliva,olio extravergine di olvia,61
olio extravergine di oliva,olio extravergine dioliva,63
olive taggiasche,olive teaggiasche,62
pane grattugiato,pane grattato,55
pane grattugiato,pane grattuggiato,62
pane in cassetta,pane a cassetta,55
panna fresca da montare,panna fresca liquida da montare,50
pasta per pizza,impasto per pizza,53
patate,patata,99
pecorino romano grattugiato,pecorino grattugiato,50
pepe nero in grani,pepe rosa in grani,54
pepe nero macinato,pepe nero marinato,59
pepe nero macinato,pepe nero vaccinato,57
pepe nero macinato,pepe rosa macinato,54
pepe rosa in grani,pepe nero in grani,54
peperoncino frantumato,peperoncino rosso frantumato,53
peperoni,peperone,99
pesca nettarina,pesca nettarine,99
piadina integrale,farina integrale,50
piselli finissimi surgelati,piselli fini surgelati,55
pomodori ciliegini,pomodori ciliegia,56
pomodori ciliegini,pomodori ciliegieni,62
pomodori ciliegini,pomodori ciliegino,99
pomodori ciliegini,pomodori ciligino,56
pomodori ciliegini,pomodoro ciliegini,59
pomodori ciliegini,pomodoro ciliegino,54
pomodori datterini,pomodori datterino,99
pomodori datterini,pomodori perini,50
pomodori secchi,pomodori secco,55
pomodori secchi,pomodori semisecchi,53
pomodori secchi,pomodoro secchi,58
pomodoro grappolo,pomodori a grappolo,54
prosciutto cotto affettato,prosciutto cotto a fette,53
prosciutto cotto affettato,prosciutto cotto affettato sottile,52
prosciutto cotto affettato,prosciutto cotto affumicato,52
prosciutto cotto cubettato,prosciutto cotto a cubetti,53
prosciutto cotto cubettato,prosciutto cotto affettato,53
prosciutto crudo di parma crumble,prosciutto crudo di parma,51
prosciutto crudo di parma dop,prosciutto crudo di parma,58
provola affumicata,provola affumicato,99
provolone dolce,provola dolce,51
rigatini,rigatoni,53
riso basmati cotto,riso basmati già cotto,55
salamini cacciatorini,salame cacciatorino,50
salmone affumicato,sale affumicato,56
salsa di soia,salsa di soia bio,52
salvia fresca,salvia fresco,99
scamone,salmone,51
semi di sesamo,semi di sesamo nero,50
spaghettoni,spaghetti,55
succo di limone,succo di lime,58
tagliatelle secche all'uovo,tagliatelle all'uovo,50
yogurt intero bianco 150 gr,yogurt intero bianco,50
zucchero a velo,zucchero a belo,58
zucchero semolato bianco,zucchero bianco semolato bianco,52
zucchero semolato bianco,zucchero semolato bianci,99
zucchero semolato bianco,"zucchero semolato, bianco",63
zucchine,zucchina,99
