accessori
acciughe in olio di girasole
aceto balsamico di modena i.g.p
aceto di mele
acqua
aglio
alette di pollo
alette di pollo marinate (4 pz)
alloro
anacardi tostati e salati
ananas maturato in pianta
anelli di totano surgelato
aneto
anguria
arancia navel
arrosticini di pecora decongelati origine italia
arrosto di fesa di tacchino
arrostoni con vitello
asiago fresco dop
asparagi surgelati
asparagina
avocado hass
bacche di ginepro
bacon
baffa di salmone fresco
banana chiquita
base per pizza
basilico fresco
besciamella artigianale
birra artigianale orange bock
birra artigianale reset
biscotti petit
biscotto omino
bocconcini di pane
branzino eviscerato (circa 400 g)
bresaola artigianale
bresaola punta d'anca
broccoli freschi
burro
burro 125 g
burro agli aromi
cacio e pepe
caciocavallo silano dop
calamarata
canederli planeat
capasanta atlantica fresca
capasanta polpa atlantica decongelata
capperi e olive taggiasche
capperi lacrimella in aceto
carciofi a spicchi surgelati
carne salata
carne trita di bovino e suino
carote
carote cubettate cotte
carote e asparagi
carote e zucchine cubettate
carote e zucchine cubettate cotte
carote rondelle cotte
carote rondelle surgelate
casera valtellina dop
catalogna
catalogna cotta
cavatelli freschi
cavoletti bruxelles
cavolfiori
cavolini di bruxelles cotti
cavolini di bruxelles surgelati
cavolo rosso
ceci bio
ceci bio ammollati
ceci bio cotti
cetriolo
cheesecake con coulis ai frutti di bosco
chiodi di garofano
ciabattina di semola di grano duro
ciliegine di mozzarella
cime di rapa cotte
cime di rapa surgelate
cime fresche lavate e mondate
cipolla
cipolla rossa
ciuffi di calamari surgelati
coda di rospo congelata
code di gambero argentino cotte
code gambero argentino
colomba nocciole e cioccolato
colomba pere e cioccolato
confettura extra albicocche 65% frutta
confettura extra fragole 65% frutta
confettura extra mirtilli 65% frutta
confettura extra pesche 65% frutta
coppa di parma igp
cordon bleu
coscia di pollo aperta (350-400 gr circa)
coscia di pollo disossata (150-200gr)
cosciotto di agnello cotto a bassa temperatura
cosciotto di agnello fresco disossato
coste cotte
coste surgelate
cotechino
cotechino cotto
cous cous di cavolfiore
couscous
cozze
crema di latte
crema di parmigiano
crema di pomodori fresca
crespella
crocchette di patate
crostini all'olio di oliva
cumino macinato
cumino semi
cuore di merluzzo nordico
cuore di scamone alle erbe aromatiche
cuore di scamone con granella di pistacchi e mandorle
cuori di borragine
curcuma macinata
curry madras
dadini di brasato
dado vegetale allo zafferano fatto da noi
dado vegetale fatto da noi
dadolata di verdure per zucchine
decorazioni in zucchero
dischetti cioccolato bianco
dischetti cioccolato fondente extra
dischetti di semolino
ditalini rigati
ditalini rigati per pastina in brodo
dorato moscato vivace provincia di pavia igt cantina travaglino
emmenthal bavarese
erba cipollina
erbe aromatiche
erbette verdi fresche mondate
fagioli borlotti bio
fagioli borlotti bio cotti
fagioli cannellini bio
fagioli cannellini bio cotti
fagioli di spagna
fagiolini cotti
fagiolini surgelati
fantasia mediterranea bonduelle
farfalle
"farina ""00"""
farina di ceci
"farina di grano tenero ""00"""
farro perlato
farro perlato cotto
fave secche spezzate
fegato vitello fresco
fesa di tacchino
fesa di tacchino cotta al forno
fesa di vitello
feta
feta a fette
fettina di salmone con panatura al pistacchio
fettina di spada impanata
fettine di cosciotto di agnello cotto a bassa temperatura
fettuccine alla curcuma
fettuccine integrali multicereali
filetto di branzino (100/120 g)
filetto di gallinella
filetto di nasello
filetto di orata fresco (100/120 g )
filetto di pesce persico
filetto di platessa impanato
filetto di scorfano
filetto di trota salmonata senza pelle 200/220
filone di spada gelo s/p
filone di tonno surgelato
filone mozzarella
financier al cioccolato
finocchi
finocchietto selvatico
fiocchi di mais
fiori di zucca
focaccina tonda
fonduta al taleggio
formaggio grattugiato fresco
formaggio grattugiato fresco (100 g)
formaggio pecorino romano
formaggio spalmabile
formaggio spalmabile 100 g
fragole (300g)
fragole candonga
funghi champignon crema
funghi orecchiette
funghi pioppini
funghi porcini
fusilli
fusilli cotti
fusilli integrali
fusilli integrali cotti
fusilli tricolore
fusilli tricolore cotti
fuso di pollo (220 g)
gamberetti sgusciati e devenati
gazpacho
germogli di soia
giardiniera
gnocchetti sardi
gnocchi alla romana
gnocchi di patate
gorgorzola dop dolce
granarolo burro italiano
granella di mandorle
granella di pistacchio
gratinatura
gratinatura mare
guanciale
hamburger bovino
hamburger di manzo (100 gr)
hamburger di manzo (150gr)
hamburger di pollo
hamburger di tacchino (150 gr)
hummus
impasto per tortino di spada
impegno
insalata cicoria milano
insalata mista
insalata novella
insalata songino
insalatina di verdure
latte di cocco
latte uht ps
lenticchie verdi bio
lenticchie verdi bio cotte
lievito biologico per dolci a base di cremor tartaro senza fosfati
limone
limone 1 pz 100/130 g
limone 1pz 100/130 g (circa 40ml di succo)
linguine
linguine cotte
lombo di suino intenerito
lonza cotta al forno
lonza cotta al forno venata allo speck
lonza cotta al vapore
lonza suino nazionale
luna by planeat.eco - bianco frizzante cortese igt (pv)
lupini
magatello di vitello
maggiorana
maionese
maionese artigianale
mais
mandorle pelate
marsala semi secco
marte by planeat.eco - rosso mosso croatina igt (pv)
mascarpone
mazzancolla tropicale
mazzancolle senza testa
mela golden
mela golden melinda
melanzane
melone
menta
mezze penne
mezze penne cotte
miele
miele di acacia italiano biologico (500g)
mirto
misto funghi con porcini congelati
misto funghi con porcini cotti
mix casera dop/parmigiano 24 mesi
mix di legumi e cereali
mix per torta salata
mix prosciutto e formaggio
mortadella bolognese i.g.p
mousse zola e noci
mozzarella artigianale sfoglia 500 gr
mozzarella di bufala 125 g
mozzarella di bufala a fette
mozzarella di bufala mammarella
mozzarella fiordilatte
mozzarella granarolo
mozzarella julienne
nettare bio almaverde - albicocca
noce bovino adulto
noci
nodini fiordilatte
nutella ferrero
olio di semi di girasole
olio extra vergine di oliva bio levante
olio extravergine di oliva
olive nere rondelle
olive taggiasche
olive verdi a rondelle
olive verdi giganti
orata eviscerata (circa 400 g)
orecchiette fresche
origano essiccato
orzo perlato
orzo perlato cotto
ossobuco di vitello
paccheri
pancake planeat
pancetta arrotolata
pane bianco
pane grattugiato
pane in cassetta
pane in cassetta affettato
pane per hambuger ai semi di papavero
pane per hambuger al sesamo
pane raffermo
pane rustico filone
panettone gastronomico vuoto già tagliato
panettone gourmet
panna fresca
panna fresca da montare
pappardelle secche all'uovo
paprika
parmigiano reggiano
passata di pomodoro 100% italia
pasta corta
pasta fresca all'uovo precotta surgelata
pasta per pizza
pasta per pizza con farina integrale
pasta sfoglia decongelata cruda
pastrami
patate
patate al forno fatte da noi!
patate asparagi e scalogno
patate cubettate
patate cubettate cotte
patate cubettate small cotte
patate e zucchine cubettate
patate in fiocchi
patate prezzemolate
pecorino artiginale
penne integrali cotte
penne rigate integrali
pennette
pennette cotte
pennette quadrate
pepe nero in grani
pepe nero macinato
pepe rosa in grani
pepe verde in salamoia
peperoncino frantumato
peperoni
peperoni e carote cubettati
pepite di formaggio stagionato
pera kaiser
pere carmen
pere conference
pesca nettarina
pesto artigianale
pesto artigianale senza aglio
pesto di spinaci
pesto pregis
petti di pollo
petto di pollo grigliato julienne
piadina
piadina integrale
pinoli
pirottini
pisarei
piselli cotti
piselli finissimi surgelati
pizza base bianca
pizza margherita
pizzoccheri valtellinesi igp
platessa
polenta precotta
polpette primbeef
polpo cotto
polpo decongelato
pomodori ciliegini
pomodori datterini
pomodori secchi
pomodoro grappolo
porro origine italia
preparato per hamburger e polpette di legumi al curry
preparato per panzanella
preparato per pollo al curry
preparato per polpettine di legumi
prezzemolo fresco
primo sale
prosciutto cotto
prosciutto crudo di parma dop
prosciutto crudo e bresaola
provola affumicata
provolone dolce
quarto di limone
radicchio rosso
ragù di carne artigianale pronto al consumo
ragù e provola
ravioli ai funghi porcini
ravioli cacio e pepe
ravioli di brasato
ravioli di gambero
ravioli di zucca
ravioli freschi ricotta e spinaci
reale di vitello
rice crispies al cacao
ricotta salata
ricotta vaccina granarolo
rigatini
rigatini cotti
ripieno ai gamberi e limone per ravioli
riso basmati
riso basmati cotto
riso carnaroli
riso carnaroli classico cavalieri d'italia
riso carnaroli cotto
riso lesso (250 g circa)
riso parboiled
riso venere
riso venere cotto
roast-beef
rosette broccoli cotte
rosette broccoli surgelati
rosette cavolfiori cotte
rosette cavolfiori surgelati
rosmarino fresco
rucola
salamella (130 g)
salamini cacciatorini
sale marino fino iodato
sale marino grosso iodato
salmone affumicato
salmone affumicato con erba cipollina
salmone baffa surgelato
salsa agrodolce miele e zenzero
salsa babaganoush
salsa bbq heinz
salsa di albicocche (120 g)
salsa di avocado
salsa di clementine (120g)
salsa di fichi (120g)
salsa di pere (120g)
salsa di pomodoro artigianale pronta
salsa di soia
salsa di soia e miele
salsa di soia kikkoman
salsa noci
salsa tonnata
salsa verde
salsiccia di suino luganica
salvia fresca
scamone
scamorza artigianale
scamorza artigianale affumicata
scamorzine bocconcini artigianali
sedano
sedano rapa
semi di sesamo
senape
solidarietà
sorrisi
sostenibilità
sottofesa manzo
spada fresco
spaghetti
spaghetti cotti
spaghetti integrali cotti
spaghetti quadrati
spaghetti quadrati integrali
spaghettoni
spaghettoni cotti
speck
spezzatino di vitello
spezzatino manzo
spiedini planeat
spiedino di pollo
spiedino di suino (220 g)
spinaci cotti
spinaci e ricotta
spinaci freschi cotti
spinaci freschi mondati
spinaci surgelati
spinacino fresco lavato
spumante
spumante pinot nero extra dry oltrepò pavese cantina vanzini
spumante rosé
stracchino alta qualità
stracciata di mozzarella di bufala
stracciatella artigianale
succo di limone
susine
taccole surgelate
tagliatelle secche all'uovo
taleggio dop
taralli alle patate
taralli artigianali alle patate
tarallini ai semi di finocchio
tarallini al peperoncino
tarallini alle patate
tentacoli tagliati cotti di totano
thaina integrale 100% sesamo
timo fresco
tomino del boscaiolo
tonno in olio di semi di girasole
tonno pinne gialle
tonno pinne gialle con granella di pistacchi e mandorle
torta salata ricotta e spinaci
tortiglioni
tortiglioni cotti
tortiglioni integrali
tortiglioni integrali cotti
totano gigante cotto
totano gigante del pacifico decongelato
trancio di baffa di salmone (150gr)
trito di pesce
trito per calamarata
trito per soffritto
trofie fresche
"uova da galline allevate all'aperto senza ogm, senza antibiotici - italia cat. a"
uova sode
verdure cubettate
verdure cubettate cotte
verdure cubettate per ortolana
verdure e germogli di soia
verdure miste in proporzioni variabili
verdure pastellate
verdure pastellate cotte
verdure per dadolata di verdure
verdure per insalata di ceci
verdure per minestrone estivo
verdure per paella
verza italia cat 1
vino bianco
vino dolce
vino rosso
vino rosso fermo
vongole veraci
yogurt greco dop 10%
yogurt intero bianco 150 gr
zafferano fili
zenzero
zucca
zucca cubo cotta
zucca cubo surgelata
zucchero a velo
zucchero semolato
zucchero semolato bianco
zucchine
zucchine e porri
