Nome,Quantita,Unità di misura
Carciofo cuori,0,g
Caciocavallo grattugiato,0,g
Pomodori maturo,0,kg
Basilico fresco tritato,0,Cucchiaino
Prezzemolo fresco tritato,0,Cucchiaino
Frisella,0,Unità
Riso carnaroli,0,g
Provola dolce,0,g
Maiale macinato,0,g
Cavoli cinese,0,g
Zenzero fresco,0,g
Burrata,0,g
Pepe rosa,0,Unità
Paprika,0,Pizzico
Amido di patata,0,Cucchiaino
Emmenthal,0,g
Pasta sfoglia,0,rotolo
Radicchio tardivo di Treviso,0,Cespo
Gambero,0,Unità
Brodo di pesce granulare,0,Cucchiaio
Peperone,0,Fetta
Germogli di soia,0,Manciata
Lime la scorza grattugiata,0,Unità
Zenzero fresco grattugiato,0,Cucchiaino
Curry rosso,0,Cucchiaino
Latte di cocco,0,ml
Pollo macinato,0,g
Pancarrè,0,Fette
Paprika dolce,0,Unità
Corn flakes,0,g
Groviera,0,g
Seppia,0,kg
Limone ilsucco,0,Unità
Pane raffermo,0,Fette
Alici,0,g
Pomodori datterino,0,g
Toma di pecorino,0,g
Pecorino grattugiato,0,Cucchiai
Salame a cubetti,0,g
Cognac,0,Cucchiaio
Limone,0,Cucchiaio
Lievito di birra,0,g
Emmenthal a cubetti,0,g
Riso da sushi,0,g
Alga kombu,0,cm
Salmone filetto abbattuto,0,g
Olive del Piceno DOP,0,g
Manzo macinato,0,g
Noce moscata macinata fresca,0,Unità
Olio per friggere,0,lt
Patate gialle sode,0,g
Cipolle bianca,0,g
Panna da cucina,0,ml
Zafferano,0,bustina
Asparago verde,0,kg
Mollica di pane (anche raffermo),0,g
Salmone affumicato a fette,0,g
Robiola,0,g
Mascarpone,0,g
Limone la scorza grattugiata,0,Unità
Giardiniera sottaceto,0,Cucchiaio
Pasta sfoglia tonda,0,rotolo
Prosciutto cotto a cubetti,0,g
Provola dolce grattugiata,0,g
Panna liqudia,0,ml
Uova fredde di frigo,0,Unità
Cappero,0,Cucchiaio
Limone la scorza,0,Unità
Mais in chicchi,0,Cucchiai
Peperone rossi e gialli,0,Unità
Origano essiccato,0,Cucchiaino
Provola,0,Fette
Scalogno,0,Unità
Panna liquida fresca,0,ml
Zucchine chiare,0,Unità
Formaggio a piacere,0,g
Fiori di zucchina,0,Unità
acciughe filetti,0,g
carta di riso,0,Foglio
Funghi shiitake,0,Unità
Soia germogli,0,g
Mais,0,g
Sakè,0,Cucchiaio
Semola di grano duro,0,g
Olive,0,g
Salame Napoli,0,g
Pancetta steccata,0,g
Scamorza dolce,0,g
Provolone,0,g
Mandorle tritate,0,g
Basilico tritato,0,Unità
Lievito istantanteo,0,Cucchiaino
Panko,0,g
Cipolla di tropea,0,Unità
Peperone rosso dolce essiccato,0,g
Pasta fillo,0,Foglio
Cavoli cappuccio,0,g
Arance,0,Unità
Peperoncino a scaglie,0,Unità
Prosciutto,0,Fette
Brodo dashi,0,ml
Mirin,0,Cucchiaino
Mazzancolla,0,Unità
Funghi shitake,0,Unità
Salmone filetto già abbattuto,0,g
